ANIO,OPERADOR_ID,DIAMETRO_PULG,EDAD_ANIOS,PRESION_MAX_PSI,PRESION_INCIDENTE_PSI,RECUBRIMIENTO,CLASE_UBICACION,COSTA_AFUERA,CAUSA,IGNICION,COSTO_USD,GAS_LIBERADO_MPCS,IND_CORROSION_GALVANICA
2013,26330,12.0,6.0,1200.0,1120.0,OTRO,1,0,DANO POR EXCAVACION,1,79571.0,5100.0,0
2013,15007,4.0,56.0,500.0,470.0,ASFALTO,3,0,OTRA FUERZA EXTERNA,0,237037.0,3000.0,0
2013,19160,24.0,39.0,1250.0,970.0,OTRO,1,1,CORROSION,0,623300.0,2405.0,0
2013,602,24.0,40.0,1000.0,770.0,ALQUITRAN,1,0,DANO POR EXCAVACION,0,156263.0,12449.0,0
2013,38987,12.75,35.0,1250.0,845.0,OTRO,1,1,CORROSION,0,430661.0,411.0,0
2013,13750,4.0,47.0,800.0,780.0,OTRO,1,0,DANO POR EXCAVACION,0,134556.0,7119.0,0
2013,13750,30.0,59.0,860.0,806.0,ALQUITRAN,1,0,CORROSION,1,256214.0,40000.0,1
2011,18646,16.0,35.0,1200.0,1090.0,OTRO,1,1,CORROSION,0,456368.0,3906.0,0
2011,18646,16.0,40.0,1300.0,900.0,OTRO,1,1,CORROSION,0,219924.0,1100.0,0
2011,18646,20.0,37.0,1200.0,815.0,OTRO,1,1,CORROSION,0,354854.0,80.0,0
2011,18646,20.0,37.0,1200.0,815.0,OTRO,1,1,CORROSION,0,354854.0,80.0,0
2013,15007,16.0,58.0,600.0,585.0,ASFALTO,1,0,DANO POR EXCAVACION,0,154619.0,13798.0,0
2013,31711,26.0,45.0,900.0,817.0,ALQUITRAN,1,0,FALLA DE MATERIAL O SOLDADURA,0,548608.0,0.0,0
2011,18646,12.75,5.0,1349.0,900.0,OTRO,1,1,DANO POR EXCAVACION,0,9696109.0,4093.0,0
2012,18646,16.0,41.0,1300.0,500.0,OTRO,1,1,CORROSION,0,193112.0,124.0,0
2013,18273,12.75,59.0,1233.0,940.0,ALQUITRAN,1,0,FALLA DE MATERIAL O SOLDADURA,0,653478.0,56.0,0
2013,18273,12.75,59.0,1233.0,704.0,ALQUITRAN,1,0,FALLA DE MATERIAL O SOLDADURA,0,7500161.0,302.0,0
2013,32296,12.75,43.0,1240.0,500.0,OTRO,1,1,CORROSION,0,209116.0,750.0,0
